porg_plant_material_id,plant_id,plant_name,material_id,material_name,purchasing_org_id,user_id,supplier_id,supplier_name,supplier_plant,valid_from,valid_to,user_purchase_org_id,rejection_reason
307,2,Dadra,200002-000001,nan,1,nan,10039,VAIBHAV POLYPLAST,Silvassa.-194Q,,,,Foreign key violation - referenced ID not found in master table
308,2,Dadra,200020-000000,nan,1,nan,10039,VAIBHAV POLYPLAST,Silvassa.-194Q,,,,Foreign key violation - referenced ID not found in master table
309,2,Dadra,200022-000000,nan,1,nan,10494,Novex Poly Films PVT Ltd,DAMAN-194Q,,,,Foreign key violation - referenced ID not found in master table
310,2,Dadra,200037-000000,nan,1,nan,14498,SARVODAYA TIMBER MART,SURAT-194Q,,,,Foreign key violation - referenced ID not found in master table
311,2,Dadra,200039-000003,nan,1,nan,14498,SARVODAYA TIMBER MART,SURAT-194Q,,,,Foreign key violation - referenced ID not found in master table
312,2,Dadra,200039-000003,nan,1,nan,23142,Neepra Packing Services (2019-2020),PANVEL-194Q,,,,Foreign key violation - referenced ID not found in master table
313,2,Dadra,200047-000001,nan,1,nan,13225,Vikram Industries,MUMBAI-194Q,,,,Foreign key violation - referenced ID not found in master table
314,2,Dadra,200048-000001,nan,1,nan,13225,Vikram Industries,MUMBAI-194Q,,,,Foreign key violation - referenced ID not found in master table
315,2,Dadra,200054-000000,nan,1,nan,24934,East India Drums And Barrels Mfg Pvt Ltd,Daman-194Q,,,,Foreign key violation - referenced ID not found in master table
316,2,Dadra,200054-000000,nan,1,nan,29019,East India Drums And Barrels Manufacturing Ltd,Daman-194Q,,,,Foreign key violation - referenced ID not found in master table
317,2,Dadra,200059-000001,nan,1,nan,10587,NILKAMAL LTD,SILVASSA-194Q,,,,Foreign key violation - referenced ID not found in master table
318,2,Dadra,200060-000041,nan,1,nan,11451,RAJ BARCODE SYSTEMS PVT. LTD.,AHMEDABAD-194Q,,,,Foreign key violation - referenced ID not found in master table
319,2,Dadra,200060-000097,nan,1,nan,10060,J. K. Art Printers and Stationers,Mumbai-194Q,,,,Foreign key violation - referenced ID not found in master table
320,2,Dadra,200060-000107,nan,1,nan,10060,J. K. Art Printers and Stationers,Mumbai-194Q,,,,Foreign key violation - referenced ID not found in master table
321,2,Dadra,200060-000109,nan,1,nan,10060,J. K. Art Printers and Stationers,Mumbai-194Q,,,,Foreign key violation - referenced ID not found in master table
322,2,Dadra,200060-000110,nan,1,nan,10060,J. K. Art Printers and Stationers,Mumbai-194Q,,,,Foreign key violation - referenced ID not found in master table
323,2,Dadra,200060-000111,nan,1,nan,10060,J. K. Art Printers and Stationers,Mumbai-194Q,,,,Foreign key violation - referenced ID not found in master table
324,2,Dadra,200060-000112,nan,1,nan,10159,PARTH INDUSTRIAL FABRICS,Vapi-194Q,,,,Foreign key violation - referenced ID not found in master table
325,2,Dadra,200060-000113,nan,1,nan,10159,PARTH INDUSTRIAL FABRICS,Vapi-194Q,,,,Foreign key violation - referenced ID not found in master table
326,2,Dadra,200060-000114,nan,1,nan,10159,PARTH INDUSTRIAL FABRICS,Vapi-194Q,,,,Foreign key violation - referenced ID not found in master table
327,2,Dadra,200060-000115,nan,1,nan,10159,PARTH INDUSTRIAL FABRICS,Vapi-194Q,,,,Foreign key violation - referenced ID not found in master table
